X,Y,latitude,longitude
30191.64564,33950.88013,1.3233141418898609,103.85301168356158
32602.9580546228,34885.2553061999,1.331764029833633,103.87467874868119
33930.57216,33077.3439,1.31541369520545,103.88660775689823
35771.16149,32012.36403,1.3057819896645406,103.90314610507575
20212.54129,38006.29809,1.3599889595740922,103.76334308486804
33892.12934,31208.55513,1.2985130429273564,103.8862619750852
29568.24839,31653.99629,1.3025419740120867,103.84741001088179
21395.7887,30371.06491,1.2909389362683636,103.7739769894372
29591.87965,32095.99664,1.3065392681333792,103.84762237114586
27343.20549,37654.65274,1.3568098181737929,103.82741684979267
27175.64039,32950.11007,1.3142635985214857,103.82591129519764
36614.56014,32426.3259,1.3095254881652496,103.91072454722365
39013.75887,32493.96454,1.310136424186053,103.93228250702666
29764.18667,34503.47188,1.328311613621866,103.84917076869841
